,Wine Id,Title,Year,Winery,Variety,Colour,Description,Country,Province,Price,Points
3218,3218,Cantine Gulino 2012 Pretiosa Albanello (Terre Siciliane),Cantine Gulino 2012 Pretiosa Albanello (Terre Siciliane),Cantine Gulino,Albanello,White,"Made from the native Albanello grape, this concentrated wine has yellow flower and exotic fruit aromas. The dense, slightly sweet and one-dimensional palate offers lemon drop, mature apricot and nectarine flavors that end on a sugary note.",Italy,Sicily & Sardinia,20,86
3294,3294,Ramos-Pinto NV White Reserva  (Port),Ramos-Pinto NV White Reserva  (Port),Ramos-Pinto,White Port,White,"Great nutty aromas come from the glass and follow into the palate of this sweeter style of white Port. It is rich, packed with almonds and a tangy orange zest edge.",Portugal,Port,36,86
3761,3761,Solminer 2015 Honea Vineyard Muskat (Santa Ynez Valley),Solminer 2015 Honea Vineyard Muskat (Santa Ynez Valley),Solminer,Muskat,White,"Bright orange blossoms, tangy lime, fresh rain, quince, green tea, jasmine and even a sesame element shine through on the nose of this bottling that carries a distinctively Asian character. Exotic citrus and brisk melon flavors show on the palate, which is lined with an ethereal undercurrent of bound up, bone-dry energy.",US,California,28,91
4275,4275,Milijan Jelić 2011 Morava (Pocerina),Milijan Jelić 2011 Morava (Pocerina),Milijan Jelić,Morava,White,"This white wine from Serbia has aromas of caramelized pineapple and elderflower. It is lively and energetic, with flavors of Japanese apple and ripe pineapple.",Serbia,Pocerina,26,87
4547,4547,Clos Venturi 2015 1769 Carcajolu (Vin de France),Clos Venturi 2015 1769 Carcajolu (Vin de France),Clos Venturi,Carcajolu,Red,"Made from a grape that probably hails from the Somontano region of Spain (where it is known as Parraleta) this is a tight, stalky wine that has acidity and black currant fruit in abundance. Its tannins are more restrained than the fruit, allowing a light structure to hold up the juicy acidity and crisp aftertaste. Drink from 2017.",France,France Other,21,88
4735,4735,Librandi 2005 Magno Megonio Magliocco (Val di Neto),Librandi 2005 Magno Megonio Magliocco (Val di Neto),Librandi,Magliocco,Red,"Magno Megonio offers beautiful mineral notes behind a curtain of pulsing berry fruit and cola. This wine, made from the promising Magliocco grape, really does have character and exhibits fine winemaking in Calabria, a harsh and often overlooked region of southern Italy. Those drying minerals give the wine balance and persistency on the finish.",Italy,Southern Italy,35,90
5009,5009,Grotta del Sole 2007  Asprinio di Aversa,Grotta del Sole 2007  Asprinio di Aversa,Grotta del Sole,Asprinio,White,"This is a unique wine that opens with aromas of caramel and butterscotch but it also offers mature apricot, melon and candied fruit. The mouthfeel is short and compact but the acidity and bitter almond flavors do keep it lively.",Italy,Southern Italy,36,83
5893,5893,Quinta de Paços 2016 White (Vinho Verde),Quinta de Paços 2016 White (Vinho Verde),Quinta de Paços,Loureiro-Arinto,White,"This blend is dominated by one of the two grapes of Vinho Verde: the Loureiro. That gives both a crisp texture and ripe apple and green-plum fruits. It is a ripe wine, juicy and ready to drink now.",Portugal,Vinho Verde,10,86
6274,6274,Blandy's NV Duke of Clarence Rich Madeira (Madeira),Blandy's NV Duke of Clarence Rich Madeira (Madeira),Blandy's,Madeira Blend,White,"A blended style of Madeira, this is rich, soft, without the ineffable bite of a wine made from the classic varieties, but certainly with acidity and wood as well as a full, caramel-flavored aftertaste.",Portugal,Madeira,36,86
6317,6317,Barton & Guestier 2016 B&G Réserve Grenache Noir (Pays d'Oc),Barton & Guestier 2016 B&G Réserve Grenache Noir (Pays d'Oc),Barton & Guestier,Grenache Noir,Red,"Quite forward in  character, this opens with powerful scents of purple flowers, black berry, cherry and plum. The palate is juicy and fruit forward, with hints of sweet spice and berry preserves that carry through to the medium-length finish. Drink now.",France,Languedoc-Roussillon,9,86
6544,6544,Campolargo 2014 Campolargo Branco White (Bairrada),Campolargo 2014 Campolargo Branco White (Bairrada),Campolargo,Cercial,Red,"A barrel-fermented wine, this is richly perfumed both from the wood and from the nature of the Cercial grape. The wine has strong minerality, lime and lemon flavors, and layers of spice. Already mature, the wine is ready to drink.",Portugal,Bairrada,50,88
6948,6948,Van Ardi 2015 Estate Bottled Kangoun (Armenia),Van Ardi 2015 Estate Bottled Kangoun (Armenia),Van Ardi,Kangoun,Red,"Medium straw in the glass, this wine has a nose of pineapple and white melon. Soft on the palate, it offers flavors of grapefruit, papaya and rose. Lingering brightness on the finish is bolstered by a hint of pear.",Armenia,Armenia,14,87
7043,7043,Lyrarakis 2010 Vilana (Crete),Lyrarakis 2010 Vilana (Crete),Lyrarakis,Vilana,White,"A nose of lemon, slate and rich, ripe fruit leads into balanced, fuller-bodied flavors of citrus and tropical fruit. Fresh acidity balances out the curvier side of the wine. Easygoing and a good everyday sip.",Greece,Crete,13,88
7471,7471,Suvla 2012 Karasakiz (Thrace),Suvla 2012 Karasakiz (Thrace),Suvla,Karasakiz,Red,"Medium garnet in color, this wine has a bouquet of cranberry and chocolate. It is simultaneously bright and velvety, with an interesting flavor profile of fennel bulb, strawberry, lemon zest and coffee. The mellow finish has a lingering note of toasted coriander seed.",Turkey,Thrace,15,89
7495,7495,Merry Cellars 2011 Stillwater Creek Vineyard Mourvèdre-Syrah (Columbia Valley (WA)),Merry Cellars 2011 Stillwater Creek Vineyard Mourvèdre-Syrah (Columbia Valley (WA)),Merry Cellars,Mourvèdre-Syrah,Red,"Smooth and soft in the mouth, this has rich cherry flavors and a generous amount of caramel and chocolate from barrel aging. It's a palate-pleasing wine, straightforward and probably at its drinking peak.",US,Washington,38,87
7752,7752,Donkey & Goat 2016 Clair + Ette Barsotti Vineyard Clairette (El Dorado),Donkey & Goat 2016 Clair + Ette Barsotti Vineyard Clairette (El Dorado),Donkey & Goat,Clairette,White,"The gold color and buttery flavors give this wine a rich personality for such a low-alcohol level and for a varietal that is often crisp and light. Almost mainstream in style compared to most D&G offerings, it has vanilla, pear and almond to add complexity and a smooth broad texture that soothes the palate.",US,California,30,89
8467,8467,Fulkerson 2016 Juicy Sweet Estate Diamond (Finger Lakes),Fulkerson 2016 Juicy Sweet Estate Diamond (Finger Lakes),Fulkerson,Diamond,Red,"Candied peach, melon and grape notes are sweet and simple in this fruity white wine. Made from Diamond, a Concord-grape hybrid, with just a splash of Riesling, it's forward and easy but finishes with a crush of sweet-tart citrus. Drink now.",US,New York,10,86
8487,8487,De Stefani 2012 Stèfen Marzemino (Veneto),De Stefani 2012 Stèfen Marzemino (Veneto),De Stefani,Marzemino,Red,"Made entirely with Marzemino, this has subtle aromas of ripe black-skinned fruit and a whiff of cake spice. The concentrated monolithic palate delivers prune, vanilla and a hint of bitter almond alongside assertive tannins. You'll also notice the heat of evident alcohol. Drink soon.",Italy,Veneto,130,88
9112,9112,Pasquale Pelissero 2011 La Ferma Freisa (Langhe),Pasquale Pelissero 2011 La Ferma Freisa (Langhe),Pasquale Pelissero,Freisa,Red,"Made from the grape of the same name, this Freisa from Piedmont offers fragrances of blue flower and berry. The palate delivers ripe raspberry and tart cherry along with a hint of spice. Pair it with savory quiche recipes or grilled chicken.",Italy,Piedmont,22,87
9447,9447,Apátsági 2013 Somlói Hárslevelü (Hungary),Apátsági 2013 Somlói Hárslevelü (Hungary),Apátsági,Hárslevelü,White,"This dry white has apricot, peach and white floral scents and lemon curd and orange zest flavors. It's well balanced, with a creamy finish.",Hungary,Hungary,26,90
9484,9484,Domaine Chiroulet 2011 Grande Réserve Red (Côtes de Gascogne),Domaine Chiroulet 2011 Grande Réserve Red (Côtes de Gascogne),Domaine Chiroulet,Merlot-Tannat,Red,Both the aromas and the palate shout out the wood aging that's been used in this wine. It is still young and the spice and burnt toast character should soften further into the ripe blackberry fruits. The texture is certainly concentrated and firm; a wine with a good future. Drink from 2017.,France,Southwest France,20,89
9574,9574,San Juan Vineyards 2006 Siegerrebe (Puget Sound),San Juan Vineyards 2006 Siegerrebe (Puget Sound),San Juan Vineyards,Siegerrebe,White,"Light and tart, mixing grapefruit, lychee, mineral and floral aromas, all evident here. Very spicy, it is a bit like Gewürztraminer without the floral highlights. The Brix (under 20) leads to a thin wine that doesn't quite reach 12% alcohol.",US,Washington,15,84
9579,9579,Fanucchi 2005 Wood Road Vineyard Trousseau Gris (Russian River Valley),Fanucchi 2005 Wood Road Vineyard Trousseau Gris (Russian River Valley),Fanucchi,Trousseau Gris,White,"Smells honeyed and tastes like one of those fruity bottled sodas. It's a riot of peaches, pears and vanilla cream, with a honey-sweet finish.",US,California,19,84
9935,9935,Lionel Osmin & Cie 2014 Ekigaïna (Vin de France),Lionel Osmin & Cie 2014 Ekigaïna (Vin de France),Lionel Osmin & Cie,Ekigaïna,Red,"Part of a new range from this producer featuring rare grapes, this is made from a cross between Tannat and Cabernet Sauvignon, developed in 1955. The wine is like a trip back in time to the era when reds were high in tannins and acidity. It's a curiosity for those who like such things.",France,France Other,36,85
10172,10172,Maryhill 2010 Proprietor's Reserve Tavola Rosso Sangiovese Cabernet (Columbia Valley (WA)),Maryhill 2010 Proprietor's Reserve Tavola Rosso Sangiovese Cabernet (Columbia Valley (WA)),Maryhill,Sangiovese Cabernet,Red,"A blend of Sangiovese and Cabernet Sauvignon, the Tavola Rosso is a wine that seems to be in search of a distinct identity. Tannic, drying and vanilla soaked, it has a red fruit flavor that vanishes all too quickly.",US,Washington,32,85
10309,10309,Segal's 2009 Dovev Single Vineyard Argaman (Galil),Segal's 2009 Dovev Single Vineyard Argaman (Galil),Segal's,Argaman,Red,"This bold red made from Argaman—a cross between Souzão and Carignan—offers upfront notes of boysenberry and black plum, accented by hints of bark and spiced chocolate. It's inky and dark, but with a good acidic cut that keeps the finish fresh and the wine approachable now.",Israel,Galil,38,86
10824,10824,Bouza 2011 Reserva Tempranillo-Tannat (Montevideo),Bouza 2011 Reserva Tempranillo-Tannat (Montevideo),Bouza,Tempranillo-Tannat,Red,"Rubbery aromas of plum and wild berry turn toward earthy with airing. This blend from one of Uruguay's better wineries is full, hefty and tight, with grabby tannins. Blackberry, pepper and burnt flavors finish blackened and slightly bitter. Drink through 2018.",Uruguay,Montevideo,20,88
11214,11214,Tre Nova 2010 Nebbaro Red Barbera-Nebbiolo (Columbia Valley (WA)),Tre Nova 2010 Nebbaro Red Barbera-Nebbiolo (Columbia Valley (WA)),Tre Nova,Barbera-Nebbiolo,Red,"The blend is 51% Nebbiolo and 49% Barbera. It's aromatically intriguing, with a whiff of Asian spices and a dusting of cocoa powder. Though almost four years old, it hasn't entirely jelled—it drinks like two different wines, one tart and acidic, with light red berry flavors; the other smooth and almost silky.",US,Washington,30,87
11792,11792,Domaine Céline et Frédéric Gueguen 2014 Cépage Confidentiel  (Coteaux Bourguignons),Domaine Céline et Frédéric Gueguen 2014 Cépage Confidentiel  (Coteaux Bourguignons),Domaine Céline et Frédéric Gueguen,Sacy,White,"There are only a handful of acres of this Vitis vinifera vine left and wines like this are consequently rare, so much so that the Gueguens claim to be the only producers of 100% Sacy. This light, crisp, fruity wine is low in alcohol and bright to taste. It is ready to drink.",France,Burgundy,36,86
11955,11955,McPherson 2015 Timmons Ranch Piquepoul Blanc (Texas),McPherson 2015 Timmons Ranch Piquepoul Blanc (Texas),McPherson,Piquepoul Blanc,White,"It's not often you find a varietal Piquepoul Blanc outside of the south of France, but this seems to suit well to the hot Texan climate. Striking notes of ripe peach, apricot and white lily carry the nose and palate. There's good tension and texture in this light- to medium-bodied wine, which would lend well to pairing alongside grilled seafood.",US,Texas,13,88
12358,12358,Vodopivec 2006 Classica Vitovska (Venezia Giulia),Vodopivec 2006 Classica Vitovska (Venezia Giulia),Vodopivec,Vitovska,Red,"Made in amphorae made from Georgian clay, this “Classica” expression of the Vitovska grape opens with a intense copper-ornage color and deeply nutty nuances of pine nut and almond backed by honey, butterscotch and candied fruit (there's not much in the way of fresh fruit here). Thanks to its inherent tannic structure, the wine drinks more like a red than a white. It will be fascinating to watch it age ten more years.",Italy,Northeastern Italy,85,91
13432,13432,Jezreel 2014 Kerem Nilli Argaman (Samson),Jezreel 2014 Kerem Nilli Argaman (Samson),Jezreel,Argaman,Red,"This wine has a nose of black cherry, violet and espresso. It offers well-integrated flavors of blackberry, plum, white chocolate, lavender and coffee bean. Velvety tannins make way for a mellow finish with a lingering sense of brightness.",Israel,Samson,48,91
13678,13678,Château Haut Peyruguet 2016  Bordeaux Blanc,Château Haut Peyruguet 2016  Bordeaux Blanc,Château Haut Peyruguet,Sauvignon-Sémillon,White,"This estate in the east of the Entre-deux-Mers region has produced a ripe white blend that balances its white fruit with a crisp herbal element. With acidity and a touch of spice, it's crisp and ready to drink.",France,Bordeaux,12,86
13930,13930,O. Fournier 2010 Alfa Spiga  (Ribera del Duero),O. Fournier 2010 Alfa Spiga  (Ribera del Duero),O. Fournier,Tinta del Pais,Red,"Dark and dense as the dead of night, this robust RDD is pushing aromas of blackberry, cassis, black tea and cola. The palate is reaching maturity while showing energy and balance. Flavors of root beer, savory beef, soy and vanilla accent blackberry fruit, while the finish is plump, with ready tannins. Drink through 2022.",Spain,Northern Spain,45,94
14367,14367,Les Vignerons de la Méditerranée NV Resplandy  (Muscat de Saint-Jean de Minervois),Les Vignerons de la Méditerranée NV Resplandy  (Muscat de Saint-Jean de Minervois),Les Vignerons de la Méditerranée,Muscat Blanc à Petits Grains,White,"Lush, ripe and a touch heady, this is a rich selection that's brimming with notes of white peach, quince, melon and red apple. Thankfully, hints of ginger, nectarine pit and citrus rind add lift to the palate and remain through the medium-length finish.",France,Languedoc-Roussillon,12,87
15014,15014,Daniel Belda 2014 Verdil (Valencia),Daniel Belda 2014 Verdil (Valencia),Daniel Belda,Verdil,White,"Powdery melon aromas are soft and easy. This is varietal Verdil, a white grape indigenous to the Valencia region, and it's standard in weight and acidity. Mild orange, melon and yeast flavors finish short as a whistle burst.",Spain,Levante,18,86
15307,15307,Scubla 2010 Cratis Verduzzo Friulano (Colli Orientali del Friuli),Scubla 2010 Cratis Verduzzo Friulano (Colli Orientali del Friuli),Scubla,Verduzzo Friulano ,,Aromas of dried apricot and acacia honey lead the nose on this smooth dessert wine. The concentrated palate delivers candied citrus and white almond balanced by just enough freshness.,Italy,Northeastern Italy,36,88
15312,15312,Viña Costeira 2013 First One Treixadura (Ribeiro),Viña Costeira 2013 First One Treixadura (Ribeiro),Viña Costeira,Treixadura,White,"Leesy peach and green melon aromas are standard but pleasing on the nose. The palate is fresh, with good body, showing melon and stonefruit flavors. This drink-now wine is friendly and attractive.",Spain,Galicia,15,88
15936,15936,Rafael Cambra 2013 Forcallà (Valencia),Rafael Cambra 2013 Forcallà (Valencia),Rafael Cambra,Forcallà,Red,"Hard, rubbery cherry and berry aromas lead to a raw, underdeveloped palate. This wine made from the local Valencia-region grape variety Forcallà is outright tart and tomatoey, with a touch of red-plum flavor. An herbal, rubbery, tannic finish tastes saucy.",Spain,Levante,27,83
15951,15951,Bodegas Valdemar 2014 Conde Valdemar Viura-Verdejo (Rioja),Bodegas Valdemar 2014 Conde Valdemar Viura-Verdejo (Rioja),Bodegas Valdemar,Viura-Verdejo,White,"Aromas of apple cider are oxidized and grassy. This offers mealy peach flavors that, like the nose, seem oxidized. A bland but not bad finish sends this Viura-Verdejo blend on its way.",Spain,Northern Spain,13,83
16127,16127,Agrinatura 2009 Giancarlo Ceci Bombino Bianco (Castel del Monte),Agrinatura 2009 Giancarlo Ceci Bombino Bianco (Castel del Monte),Agrinatura,Bombino Bianco,White,"Bombino Bianco tends to shows bright, sharp acidity but this expression is softened by honeydew melon and green apple aromas.",Italy,Southern Italy,36,86
16353,16353,Icaria Creek 1998 Cabernet Sauvignon-Barbera (Alexander Valley),Icaria Creek 1998 Cabernet Sauvignon-Barbera (Alexander Valley),Icaria Creek,Cabernet Sauvignon-Barbera,Red,"One of the last ‘98s to be released, and still dark in color. The tannins are hefty, although they're of the soft, pliant kind, and acidity is low. Oak overshadows the fruit. Not offering much now, and doesn't seem to be an ager.",US,California,45,84
16881,16881,Ey 2003 Vigne Lo Clavell  (Muscat de Rivesaltes),Ey 2003 Vigne Lo Clavell  (Muscat de Rivesaltes),Ey,Muscat d'Alexandrie,White,"Honey and fresh orange zest aromas and flavors drive this nicely balanced fortified Muscat. There's a pleasing weightiness to it on the palate, and a slightly creamy texture to go with the pristine flavors. Try with blue cheeses or foie gras.",France,Languedoc-Roussillon,16,88
16944,16944,Finca Sobreño 2010 Selección Especial  (Toro),Finca Sobreño 2010 Selección Especial  (Toro),Finca Sobreño,Tinta del Toro,Red,"Aromas of beef jerky, oak and black fruits are integrated and attractive. This feels both plush and tannic, while ripe blackberry, cassis, toast, chocolate and spice flavors end long and with good depth and complexity. Drink this ripe but balanced Toro through 2027.",Spain,Northern Spain,35,91
17096,17096,Segal's 2006 Dovev Single Vineyard Kosher Argaman (Galil),Segal's 2006 Dovev Single Vineyard Kosher Argaman (Galil),Segal's,Argaman,Red,"Here's an interesting red that's like a ripe, velvety-textured Merlot. Concentrated fruit aromas of fleshy black plum and cherry are accented by notes of fresh savory herbs. The mouth is full and structured with medium tannins and a pepper-infused jam flavor lingering on the close.",Israel,Galil,36,88
17147,17147,Jip Jip Rocks 2013 Shiraz-Cabernet (Padthaway),Jip Jip Rocks 2013 Shiraz-Cabernet (Padthaway),Jip Jip Rocks,Shiraz-Cabernet,Red,"This blend of 55% Shiraz and 45% Cabernet Sauvignon is full bodied and rather tannic, with dark notes that run the gamut from leather and grilled meat to espresso and mocha. Fortunately, the texture turns velvety on the finish, allowing some mouthwatering elements to shine through. Drink now–2020.",Australia,South Australia,19,86
17173,17173,Domaine des Terrisses 2015 Le Monde en Parle Prunelard (Vin de France),Domaine des Terrisses 2015 Le Monde en Parle Prunelard (Vin de France),Domaine des Terrisses,Prunelard,Red,"Prunelard (or Prunelart) is a Gaillac grape that had almost disappeared. Revived by a few enterprising producers, it produces a distinctly fruity, aromatic wine. This bottling's firm edge of tannins and juicy acidity contribute structure and intense fruitiness. Still bursting with youth, it should be aged for another year. Drink from 2018.",France,France Other,23,91
17358,17358,Lieubeau 2016 La Fruitière Folle Blanche Gros Plant,Lieubeau 2016 La Fruitière Folle Blanche Gros Plant,Lieubeau,Gros Plant,White,"Gros Plant (also known as Folle Blanche) is the second grape of the Pays Nantais region, better know for Muscadet. The grape produces a wine with intense acidity that is crisp, very light and traditionally drunk with oysters. It is vibrantly all fruit and ready to drink.",France,Loire Valley,16,86
17586,17586,Rolland & Galarreta 2010  Ribera del Duero,Rolland & Galarreta 2010  Ribera del Duero,Rolland & Galarreta,Tempranillo-Merlot,Red,"Valtravieso Winery is now run by the international wine consultant Michel Rolland and Javier Galaretta. This ripe, stewy blend of Tempranillo and Merlot shows aromas of animal, cheesy oak and soft berry fruit. The mouthfeel is heavy and somewhat flat, while extremely ripe berry flavors hint at raisin. This is more jammy than structured.",Spain,Northern Spain,26,86
18112,18112,Domaine Gueguen 2015 Cuvée Confidentielle  (Coteaux Bourguignons),Domaine Gueguen 2015 Cuvée Confidentielle  (Coteaux Bourguignons),Domaine Gueguen,Sacy,White,"The Sacy is a rare variety found only in a corner of the Yonne Valley west of Chablis and in the small Loire appellation of Saint-Pourçain where it is known as Tressallier. This is a spicy wine with plenty of acidity and a crisp texture. It is fruity with green plum and a brilliant, fresh aftertaste. Drink now.",France,Burgundy,19,87
18208,18208,Peju 2012 Cleta Sangiovese Cabernet (Napa Valley),Peju 2012 Cleta Sangiovese Cabernet (Napa Valley),Peju,Sangiovese Cabernet,Red,"This wine is 86% Sangiovese with 14% Cabernet Sauvignon. Puckering in black fruit and a leathery texture, it shows potential in cedar, tobacco and a hint of black tea.",US,California,55,87
18212,18212,Lionel Osmin & Cie 2014  Marcillac,Lionel Osmin & Cie 2014  Marcillac,Lionel Osmin & Cie,Mansois,Red,"Marcillac is a tiny appellation tucked away in the France's elevated Massif Central region. Made from the local grape Mansois (also known as Fer Servadou or Braucol in neighboring Gaillac), this wine is finely perfumed and ripe with berry fruits. With a cool, tannic structure, the wine is firm while fruity. It is not going to take long to be ready to drink, so just wait until the end of 2016.",France,Southwest France,16,87
18228,18228,Quattro Leoni 2008 Grignolino (Monferrato),Quattro Leoni 2008 Grignolino (Monferrato),Quattro Leoni,Grignolino,Red,"The name Grignolino comes from the dialect word for “seeds.” The grape, on the other hand, requires special winemaking techniques in order to soften the wine's tannins due to the natural abundance of seeds. Light in color and bright with fresh fruit characteristics, this would make an ideal red aperitivo wine.",Italy,Piedmont,17,85
18264,18264,La Zorra 2014 La Moza Suelo de Pizarra Rufete (Sierra de Salamanca),La Zorra 2014 La Moza Suelo de Pizarra Rufete (Sierra de Salamanca),La Zorra,Rufete,Red,"Aromas of herbal red-berry fruits, tomato, leather and grass lead to a snappy, tight, drawn palate. Red-currant and plum-skin flavors are racy, while this Rufete, a variety rarely seen, is grabby and fairly astringent on the finish.",Spain,Central Spain,35,86
18577,18577,Peri Bigogno 2008  Montenetto di Brescia,Peri Bigogno 2008  Montenetto di Brescia,Peri Bigogno,Marzemino,Red,"From the Montenetto di Brescia wine region of Lombardy, this easy expression of Marzemino presents a nicely saturated brick color and opens with ripe aromas of black fruit, cherry, plum, tobacco and exotic spice. This easygoing wine closes with a tight, bitter note.",Italy,Lombardy,14,85
18874,18874,Simonnet-Febvre 2014 Saveurs de Lyre ,Simonnet-Febvre 2014 Saveurs de Lyre ,Simonnet-Febvre,Chardonnay-Pinot Gris,White,"This unusual blend, occasionally found in Alsace, gives a wine that is full and perfumed. It offers almond and spice flavors along with a tight texture. The wine, with its warm acidity, is ready to drink.",France,Burgundy,17,85
19155,19155,Agrina 2012 Portuguiser Blauer Portugieser (Fruška Gora),Agrina 2012 Portuguiser Blauer Portugieser (Fruška Gora),Agrina,Blauer Portugieser,Red,"This semi-dry red wine is garnet in color, with aromas of red cherry and red raspberry plus lifted top notes of eucalyptus and mint. In the mouth, flavors of red raspberry and black currant shine brightly before the juicy finish.",Serbia,Fruška Gora,16,87
19268,19268,Austin Hope 2013 Mourvèdre-Syrah (Templeton Gap District),Austin Hope 2013 Mourvèdre-Syrah (Templeton Gap District),Austin Hope,Mourvèdre-Syrah,Red,"Crushed blackberry with dried leaves, burned caramel and lots of toasted vanilla bean show on the luxurious nose of this mix of 50% Mourvèdre and 50% Syrah. The soft yet zesty palate packs a wondrous array of deep espresso, roasted sausage, fennel spice, shaved milk chocolate and cappuccino flavors.",US,California,75,94
19406,19406,Paix Sur Terre 2015 Kiler Grove Vineyard Ugni Blanc (Paso Robles Willow Creek District),Paix Sur Terre 2015 Kiler Grove Vineyard Ugni Blanc (Paso Robles Willow Creek District),Paix Sur Terre,Ugni Blanc,White,"One of the few in California to use this grape, winemaker Ryan Pease makes a great case for more in this bottling, which shows broad lemon curd, soft apple flesh and Anjou pear on the nose. There is ripe stone fruit on the tangy palate, but it's bone dry and grippy with chalky texture.",US,California,27,90
19679,19679,Szoke Matyás 2011 Irsai Oliver (Mátra),Szoke Matyás 2011 Irsai Oliver (Mátra),Szoke Matyás,Irsai Oliver,White,"Intense notes of white flower and lemon peel perfume this lovely aromatic white. Dry on the palate, with tart tangerine and lime flavors, it is marked by hints of blossom and zesty lime pith. Crisp and tonic on the finish. Drink now.",Hungary,Mátra,13,87
19783,19783,Campolargo 2012 Alvarelhão (Portuguese Table Wine),Campolargo 2012 Alvarelhão (Portuguese Table Wine),Campolargo,Alvarelhão,Red,"Alvarelhão is a hardy grape from the Dão region that is also found in the Douro. This firm while light wine brings out licorice, a herbal character and fine acidity. It's a juicy wine with dusty tannins and should age. Drink from 2015.",Portugal,Portuguese Table Wine,24,88
19826,19826,Domaine Dugois 2016 La Sombarde Poulsard (Arbois),Domaine Dugois 2016 La Sombarde Poulsard (Arbois),Domaine Dugois,Poulsard,Red,"Pale in color, this oak-aged wine is soft, with juicy red fruit. It offers cinnamon and nutmeg flavors, as well as a smoky character from the wood. It finishes with intense, juicy acidity. Drink from 2018.",France,France Other,25,89
